id,lat,long,cluster_DBSCAN,text_clean,date_taken_year,date_taken_month,date_taken_day,date_taken_hour,date_taken_minute,temps_diff,Type,date_taken,year_month
8091359096,45.757697,4.831972,326,zombie walk k france blood lyon sony attack alpha zombie rhnealpes,2012,10,13,17,42,245612520.0,Événement Temporaire,2012-10-13 17:42:00,2012-10
8091248863,45.7577,4.831977,326,zombie walk k france blood lyon sony attack alpha zombie rhnealpes,2012,10,13,17,41,245612460.0,Événement Temporaire,2012-10-13 17:41:00,2012-10
8085630254,45.757927,4.83246,326,place bellecour ,2012,10,14,3,11,245646660.0,Événement Temporaire,2012-10-14 03:11:00,2012-10
8209344550,45.757613,4.831859,326,statue louis xiv ,2012,11,9,17,44,247945440.0,Événement Temporaire,2012-11-09 17:44:00,2012-11
8182647932,45.757686,4.832216,326,europeoct ,2012,10,8,21,36,245194560.0,Événement Temporaire,2012-10-08 21:36:00,2012-10
8480687596,45.757613,4.831967,326,una frikada wapa square lofi squareformat iphoneography instagramapp uploadedbyinstagram foursquarevenue bd e b bf e,2013,2,17,1,27,256526820.0,Événement Temporaire,2013-02-17 01:27:00,2013-02
8477569102,45.757613,4.831967,326,lyon france photooftheday greattime river winter square squareformat iphoneography instagramapp uploadedbyinstagram foursquarevenue bd e b bf e,2013,2,15,23,48,256434480.0,Événement Temporaire,2013-02-15 23:48:00,2013-02
8461011056,45.757702,4.831967,326,lyon bellecour ,2013,2,9,21,20,255907200.0,Événement Temporaire,2013-02-09 21:20:00,2013-02
8458827699,45.757836,4.832183,326,upload square squareformat iphoneography instagramapp xproii uploadedbyinstagram foursquarevenue b e df e,2013,2,9,14,17,255881820.0,Événement Temporaire,2013-02-09 14:17:00,2013-02
8448338795,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,23,255543780.0,Événement Temporaire,2013-02-05 16:23:00,2013-02
8448338585,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,23,255543780.0,Événement Temporaire,2013-02-05 16:23:00,2013-02
8449422926,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,23,255543780.0,Événement Temporaire,2013-02-05 16:23:00,2013-02
8449422760,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,23,255543780.0,Événement Temporaire,2013-02-05 16:23:00,2013-02
8449422622,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,23,255543780.0,Événement Temporaire,2013-02-05 16:23:00,2013-02
8449422434,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,23,255543780.0,Événement Temporaire,2013-02-05 16:23:00,2013-02
8449422310,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,22,255543720.0,Événement Temporaire,2013-02-05 16:22:00,2013-02
8449422134,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,22,255543720.0,Événement Temporaire,2013-02-05 16:22:00,2013-02
8448337439,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,22,255543720.0,Événement Temporaire,2013-02-05 16:22:00,2013-02
8448337325,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,22,255543720.0,Événement Temporaire,2013-02-05 16:22:00,2013-02
8448337189,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,22,255543720.0,Événement Temporaire,2013-02-05 16:22:00,2013-02
8448336961,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,22,255543720.0,Événement Temporaire,2013-02-05 16:22:00,2013-02
8448336829,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,22,255543720.0,Événement Temporaire,2013-02-05 16:22:00,2013-02
8449421340,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,22,255543720.0,Événement Temporaire,2013-02-05 16:22:00,2013-02
8448336649,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,22,255543720.0,Événement Temporaire,2013-02-05 16:22:00,2013-02
8448336465,45.757613,4.831967,326,lyon lyon uploadedbyflickrmobile flickriosappfilternofilter,2013,2,5,16,22,255543720.0,Événement Temporaire,2013-02-05 16:22:00,2013-02
